,material_id,metal,anion,formula,oxidationstate,name
294,mp-570506,Zr,I,Zr4 I8,2.0,mp-570506Zr4_I8
295,mp-571235,Zr,I,Zr6 I24,4.0,mp-571235Zr6_I24
296,mp-22871,Zr,Cl,Zr2 Cl6,3.0,mp-22871Zr2_Cl6
297,mp-23162,Zr,Cl,Zr1 Cl2,2.0,mp-23162Zr1_Cl2
298,mp-27440,Zr,Cl,Zr2 Cl2,1.0,mp-27440Zr2_Cl2
299,mp-569175,Zr,Cl,Zr2 Cl8,4.0,mp-569175Zr2_Cl8
300,mp-504594,Zr,Br,Zr2 Br2,1.0,mp-504594Zr2_Br2
301,mp-23247,Zr,Br,Zr2 Br6,3.0,mp-23247Zr2_Br6
302,mp-1207486,Zr,Br,Zr8 Br32,4.0,mp-1207486Zr8_Br32
303,mp-1105223,Zr,F,Zr4 F16,4.0,mp-1105223Zr4_F16
304,mp-2858,Zr,O,Zr4 O8,4.0,mp-2858Zr4_O8
305,mp-561418,Zr,O,Zr12 O4,0.6666666666666666,mp-561418Zr12_O4
306,mp-1215377,Zr,O,Zr12 O3,0.5,mp-1215377Zr12_O3
307,mp-684749,Zr,S,Zr24 S32,2.6666666666666665,mp-684749Zr24_S32
308,mp-1186,Zr,S,Zr1 S2,4.0,mp-1186Zr1_S2
309,mp-9921,Zr,S,Zr2 S6,6.0,mp-9921Zr2_S6
310,mp-1193856,Zr,S,Zr21 S8,0.7619047619047619,mp-1193856Zr21_S8
311,mp-1197374,Zr,S,Zr24 S12,1.0,mp-1197374Zr24_S12
312,mp-1014265,Zr,N,Zr4 N2,1.5,mp-1014265Zr4_N2
313,mp-277,Zr,N,Zr12 N16,4.0,mp-277Zr12_N16
314,mp-1352,Zr,N,Zr1 N1,3.0,mp-1352Zr1_N1
315,mp-27772,Nb,I,Nb6 I16,2.6666666666666665,mp-27772Nb6_I16
316,mp-570044,Nb,I,Nb4 I16,4.0,mp-570044Nb4_I16
317,mp-23226,Nb,I,Nb24 I44,1.8333333333333333,mp-23226Nb24_I44
318,mp-569578,Nb,I,Nb2 I10,5.0,mp-569578Nb2_I10
